poem_nb|title|text
3|Завод|Напразно! Ти ни учи да се борим -
3|Завод|ще снемем ние
3|Завод|слънцето при нас.
3|Завод|Завод, притиснал с мъка
3|Завод|толкоз хора
3|Завод|с осаждени от черен труд
3|Завод|лица,
3|Завод|едно сърце във тебе неуморно
3|Завод|пулсира с хиляди сърца.
4|Спомен|Аз имах другар, 
4|Спомен|добър другар, 
4|Спомен|но... кашляше лошо. 
4|Спомен|Той беше огняр - 
4|Спомен|пренасяше с коша кюмюр, 
4|Спомен|изхвърляше сгур 
4|Спомен|дванадесет часа на нощ.
4|Спомен|Аз помня очите 
4|Спомен|на този огняр. 
4|Спомен|Как жадно поглъщаха тези очи 
4|Спомен|всички лъчи, 
4|Спомен|които случайно, 
4|Спомен|през сажди макар, 
4|Спомен|се вмъкваха редко 
4|Спомен|във нашата клетка.
4|Спомен|Как бързо се раждаше 
4|Спомен|трескава жажда 
4|Спомен|напролет, 
4|Спомен|когато шумят 
4|Спомен|листата на двора, 
4|Спомен|в простора 
4|Спомен|когато 
4|Спомен|се стрелкаше ято от птици.
4|Спомен|Аз чувствах 
4|Спомен|как тези зеници се молят, 
4|Спомен|как страдат, 
4|Спомен|как тягостно страдат! 
4|Спомен|Те искаха толкова малка пощада - 
4|Спомен|до пролет, 
4|Спомен|до другата пролет...
4|Спомен|Тя - пролетта - 
4|Спомен|дойде прекрасна: 
4|Спомен|със слънце, 
4|Спомен|с топъл лъх 
4|Спомен|и рози. 
4|Спомен|Далечен, 
4|Спомен|теменужен дъх 
4|Спомен|се носеше в небето ясно. 
4|Спомен|Но вътре беше мрак 
4|Спомен|и как тежеше 
4|Спомен|легналата проза...
4|Спомен|И тъй, 
4|Спомен|у нас живота се обърка. 
4|Спомен|Моторът не работеше добре. - 
4|Спомен|Започна подозрително да хърка 
4|Спомен|и... спре. 
4|Спомен|Не знам защо, 
4|Спомен|но може би, 
4|Спомен|защото другият умре.
4|Спомен|А може би не е така. 
4|Спомен|А може би, във своя глад, 
4|Спомен|моторът чакаше ръка 
4|Спомен|да хвърли в огнения ад 
4|Спомен|навреме въглищния пласт. 
4|Спомен|Да, може би. 
4|Спомен|Не зная аз.
4|Спомен|Но мен се струваше, че той, 
4|Спомен|в заекващия си брътвеж, 
4|Спомен|ме питаше с болезнен вой: 
4|Спомен|Къде е другия младеж?
4|Спомен|Той - другият - умре. 
4|Спомен|А ето - 
4|Спомен|отвън е пролет. 
4|Спомен|Надалече 
4|Спомен|се стрелкат птици по небето. 
4|Спомен|Но той не ще ги види вече.
4|Спомен|А бе такъв другар... 
4|Спомен|Добър другар!... 
4|Спомен|Но кашляше лошо. 
4|Спомен|Един огняр. 
4|Спомен|Пренасяше с коша кюмюр, 
4|Спомен|изхвърляше сгур 
4|Спомен|дванадесет часа на нощ.
5|Романтика|Аз искам да напиша
5|Романтика|днес
5|Романтика|поема,
5|Романтика|в която да диша
5|Романтика|на новото време
5|Романтика|стихът.
5|Романтика|Да тръпнат във нея
5|Романтика|крилата
5|Романтика|на гордия
5|Романтика|демон,
5|Романтика|обходил от полюс до полюс
5|Романтика|светът.
5|Романтика|Защо е този хленч?
5|Романтика|Защо въздишат хората
5|Романтика|по някаква романтика
5|Романтика|изстинала?
5|Романтика|Романтиката е сега в моторите,
5|Романтика|които пеят
5|Романтика|под небето синьо.
5|Романтика|И неразбрали тази песен горда,
5|Романтика|напразно
5|Романтика|мръщите
5|Романтика|чела.
5|Романтика|Тя носи вечната
5|Романтика|човешка бодрост
5|Романтика|на яките
5|Романтика|стоманени
