poem_nb|title|text
10|Земя|с умът,
10|Земя|но... земята не чувствам моя.
10|Земя|Над мойта земя
10|Земя|напролет
10|Земя|лъчите
10|Земя|шуртят,
10|Земя|гърмят водопади
10|Земя|от слънце
10|Земя|над мойта
10|Земя|земя.
10|Земя|Ти чувстваш дълбоко
10|Земя|сърцето на земната гръд
10|Земя|и виждаш как с скокове
10|Земя|раснат безбройни цветя.
10|Земя|Над мойта земя
10|Земя|в небето
10|Земя|опира
10|Земя|Пирин.
10|Земя|И мурите в буря
10|Земя|илинденски приказки пеят,
10|Земя|над Охрид лазура е
10|Земя|толкоз просторен и син,
10|Земя|а още надоле
10|Земя|е светлия бряг на Егея.
10|Земя|Спомням си само.
10|Земя|И ето нахлува кръвта
10|Земя|във сърцето, което
10|Земя|топи се от някаква нежност...
10|Земя|Моя страна! Моя прекрасна страна!...
10|Земя|Поена със кръв
10|Земя|и разлюляна
10|Земя|в метежи.
10|Земя|По Беласица телени мрежи...
11|Песен|Над горите, 
11|Песен|над Пирина 
11|Песен|вятър вие. 
11|Песен|Ние тръгнахме 
11|Песен|седмина 
11|Песен|да се бием: 
11|Песен|и зад нас 
11|Песен|остана надалече 
11|Песен|и Пирин, 
11|Песен|и звездната му вечер.
11|Песен|С зверове 
11|Песен|се криехме в шумака 
11|Песен|и така преминахме 
11|Песен|оттатък. 
11|Песен|И познахме 
11|Песен|сякаш по тревите 
11|Песен|на бащите 
11|Песен|кървите измити.
11|Песен|И познахме 
11|Песен|сякаш по листата 
11|Песен|майките ни 
11|Песен|где лежат в земята. 
11|Песен|И познахме 
11|Песен|по пръста ръждива, 
11|Песен|първата ни обич 
11|Песен|где почива.
11|Песен|Тръгнахме седмина 
11|Песен|да се бием. 
11|Песен|Само трима 
11|Песен|върнахме се ние.
